,Symbol,Name,Last Price,MarketTime,Change,Change %,Volume,Market Cap
0,SMCI,"Super Micro Computer, Inc.",54448,12:16PM EDT,35.72,7.02,6615000000,31883000000000
1,KEY,KeyCorp,1617,12:16PM EDT,1.56,10.71,29117000000,15256000000000
2,NVDA,NVIDIA Corporation,10903,12:16PM EDT,4.28,4.08,188535000000,2682000000000000
3,PSIG,PS International Group Ltd.,20750,12:16PM EDT,1.065,105.45,134995000000,50387000000
4,GOLD,Barrick Gold Corporation,1880,12:16PM EDT,1.39,7.98,18618000000,33006000000000
5,SBUX,Starbucks Corporation,7754,12:16PM EDT,2.45,3.26,6218000000,87868000000000
6,MNDY,monday.com Ltd.,25223,12:16PM EDT,26.53,11.75,1543000000,12555000000000
7,BNS.TO,The Bank of Nova Scotia,6116,12:16PM EDT,-2.51,-3.94,3603000000,75201000000000
8,RILY,"B. Riley Financial, Inc.",791,12:16PM EDT,-9.04,-53.5,10342000000,239524000000
9,GNLN,"Greenlane Holdings, Inc.",781,12:16PM EDT,5.31,212.4,25064000000,4132000000
10,MARA,"Marathon Digital Holdings, Inc.",1582,12:16PM EDT,-1.21,-7.08,30597000000,466000000000
11,JBLU,JetBlue Airways Corporation,49150,12:16PM EDT,-1.135,-18.76,40236000000,1705000000000
12,ALB,Albemarle Corporation,7588,12:16PM EDT,-5.77,-7.07,1931000000,8918000000000
13,QCOM,QUALCOMM Incorporated,16230,12:16PM EDT,-2.18,-1.33,4464000000,180802000000000
14,TDOC,"Teladoc Health, Inc.",695,12:16PM EDT,-0.2,-2.87,1949000000,1189000000000
15,BNS,The Bank of Nova Scotia,4450,12:16PM EDT,-1.87,-4.03,1703000000,54716000000000
16,CR.TO,Crew Energy Inc.,679,12:16PM EDT,2.89,74.1,7372000000,1068000000000
17,BBAI,"BigBear.ai Holdings, Inc.",13650,12:16PM EDT,0.155,12.85,5764000000,336847000000
18,TRNR,Interactive Strength Inc.,5449,12:16PM EDT,0.1979,57.03,84501000000,2186000000
19,DJT,Trump Media & Technology Group Corp.,2509,12:16PM EDT,-1.12,-4.27,3279000000,4766000000000
20,BABA,Alibaba Group Holding Limited,8139,12:16PM EDT,1.4,1.74,5811000000,193372000000000
21,HE,"Hawaiian Electric Industries, Inc.",1329,12:16PM EDT,-2.21,-14.26,6744000000,1466000000000
22,RVNC,"Revance Therapeutics, Inc.",657,12:16PM EDT,3.04,86.26,48571000000,689211000000
23,DPRO,Draganfly Inc.,1413,12:16PM EDT,0.0413,41.3,193634000000,10276000000
24,EL,The Estée Lauder Companies Inc.,8699,12:16PM EDT,-2.17,-2.43,1497000000,3119000000000
25,SXTP,"60 Degrees Pharmaceuticals, Inc.",13844,12:16PM EDT,0.2648,23.65,11365000000,2332000000
26,GC=F,Gold,250370,12:06PM EDT,30.3,1.23,127572,0
27,ABX.TO,Barrick Gold Corporation,2584,12:16PM EDT,1.93,8.07,2738000000,45366000000000
28,VTS,"Vitesse Energy, Inc.",2446,12:12PM EDT,1.34,5.8,158636,721746000000
29,EXK,Endeavour Silver Corp.,26500,12:16PM EDT,-0.43,-13.98,10229000000,65195000000
